Text,nb_tokens,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
lousy budget lousy labour government usual much mentioned surplus called good economy go believe surplus gone empty pocket ordinary people street far pretend budget going super budget ever heard entire life much much ado daily news surplus surplus good economy nothing prevailed nonetheless budget year year gimmick great joke imposed ordinary people year expect adequate financial aid increase salary pension government day granpinto hamrun,72.0,0.15,0.1,0.05,0.05,0.05,0.1,0.1,0.1
pleasantly surprised rather dishing insignificant amount general public would positive present new option opportunity actually ambition improve way life,20.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.0
insignificant,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tax refund euro change tax bracket part return sender pensioner tax ceiling rising increase euro weekly rise euro pensioner income euro ceiling rise right,28.0,0.0,0.043478260869565216,0.0,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0
need full time accountant phd work full time basis least understand good english,13.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285
tell many maltese pensioner reach figure year taxable think minister fooling matter,15.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.16666666666666666,0.4166666666666667
old rubbish,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931
yeah would prefer hike tax rather budget right realize better care realize lucky government care pity nothing ever mentioned ease life ex pat malta ex pat spending pension malta pity,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
stop talking nonsense,3.0,0.013333333333333334,0.05333333333333334,0.0,0.013333333333333334,0.05333333333333334,0.04,0.013333333333333334,0.09333333333333334
stop stop,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr white come malta country matter without first checking condition,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
came gozo retire lived several country throughout life work exigency chose gozo retire see something special island climate people even bought place well satisfied life however would nice u ex pat recognized government financial issue know sitting duck apart spending pension participate organization gozo spca made mostly foreigner yes think given assistance necessary,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
get wrong one ought get due welcome spend pension malta least far concerned lie issue person know getting decides live another country,22.0,0.0,0.10416666666666667,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.08333333333333333
oh yes know going live life great gozo especially comparing country lived throughout life suggesting make clear brexit fall pound going heavy impact ex pat malta thus leading head back uk thus leading loss income especially gozo incentive offered government please let say lucky government care people might decrease outflow win win situation everyone concerned malta notably quietness gozo would shine perfect place retiree especially u brit,75.0,0.07692307692307693,0.07692307692307693,0.0,0.038461538461538464,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693
goverment care planet living mate,7.0,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.15384615384615385
yeah keep complaining year prefer one mintoff fenech adami best year whether agree course admit see blue know well enough best time people,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cannot complain whole personally good budget next one need tackle malta long standing problem traffic bus service back shamble,20.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693
must well complaining,3.0,0.1724137931034483,0.0,0.06896551724137931,0.13793103448275862,0.0,0.06896551724137931,0.0,0.06896551724137931
hype surplus passed people anywhere practical decent project tackle problem effecting everybody,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pensioner take heart cent day increase wow minister made day,11.0,0.043478260869565216,0.0,0.043478260869565216,0.13043478260869565,0.0,0.08695652173913043,0.0,0.08695652173913043
non taxable tax ceiling rising figure couple two pension pension couple one pension one never employment single pensioner never married widowed,23.0,0.0,0.0,0.0,0.125,0.0,0.125,0.125,0.0
applies e household one pension,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
sure social service office told ceiling single pensioner know till today always believed whatever write today assuming want take people ride matter seems lace frill whatever government real truth whenever ask info would want real truth,38.0,0.038461538461538464,0.0,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.11538461538461539,0.0,0.038461538461538464
week worker nearly week deborah schembri great distribution surplus,11.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0
quite disappointing pensioner said public transport become free next year apart tax bracket grossly unfair going changed paying tax pensioner much person earns year,28.0,0.0,0.0,0.0,0.11538461538461539,0.0,0.0,0.0,0.038461538461538464
really paying tax pensioner mean either pension high another income tax applied total taxable income fact pensioner exempt paying tax provides ceiling eur non taxable pension p person earns eur year tax would x amount claim,43.0,0.25,0.5,0.0,0.0,0.5,0.0,0.5,0.5
minimum wage earner sure improve much,7.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weekly year stagnation,5.0,0.04225352112676056,0.0,0.0,0.014084507042253521,0.014084507042253521,0.07042253521126761,0.0,0.04225352112676056
malta need dedicated professional educator larger school present circumstance putting cart horse,12.0,0.0,0.09090909090909091,0.0,0.0,0.030303030303030304,0.0,0.030303030303030304,0.09090909090909091
worker get wage increase pensioner get per week rise pensioner get per week wording different year cola cost living increase year word used ae wage increase,29.0,0.0,0.07142857142857142,0.0,0.14285714285714285,0.0,0.07142857142857142,0.0,0.0
part budget speech significant benefit handed affordable,7.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091
best measure really impact long term health wellbeing free one year bus pas aged free school transport school child introduced next scholastic year stili wish government would go introduce totally free public transport people year age forbid every body driving private car till least age moreover cigarette vodka high alcohol content drink heavily taxed tax money thus collected put towards constructing spacious secure clean monitored functional bus stop shelter sheltered pedestrian,75.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142
last one sensible comment,4.0,0.0,0.08333333333333333,0.0,0.0,0.16666666666666666,0.08333333333333333,0.0,0.16666666666666666
sensible comment depriving anyone age use private car,10.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
sorry comment overriding point sensible comment except mentioned,9.0,0.08333333333333333,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.08333333333333333
think time raise top tax rate earnings k per annum need fund infrastructure project rich easy long need pay bit also refund tax loop whole amended maybe refund important stay competitive also important raise fun needed build infrastructure malta dearly need tunnel underground better road,48.0,0.11764705882352941,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0
wow look talking rising tax holding pint beer one employ drink pint beer r lucky crazy u gamble invest money create job talk nonsense,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
worker wage increase per week le price cup coffee wow real award think,13.0,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.05714285714285714
pensioner getting get coffee maybe sunday celebrate,8.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.25
another broken promise pm week increase u pensioner promised jm election,13.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0
civil service armed force others private pension going endure another year without compensation past theft initiated labour carried successive government justice denied wonder opposition remained silent shoulder part blame,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
live coockoo land,5.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666
sorry budget focus main great problem country hit r f f c big problem remains one even bothered try come least realistic solution,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555
encouraging motorbike malta like encouraging accident,8.0,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333
intentionally forgot mention word deficit probably go back last nationalist budget find word deficit meant million euro difference,18.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
p n disgrace lawrence gonzi promoted week rise supporter ashamed mention weak minded support p n stand one foot take phrase dad army doomed,26.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.0,0.15384615384615385
remember certain jj micallef use call labourite baqq baqq hiding,17.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0
forgot year year government surplus pl rule bloating consolidated fund ravished successive pn administration led u repeated excessive deficit procedure bet forgot,26.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0,0.043478260869565216,0.043478260869565216
hand good handing money,4.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304
oh please guy guess must praised dalli tonio budget high heaven even exorbitant utility bill highlight maltese lira devalued fuel price used increase month holiday stolen shall go one thing nats good bankrupting country remember nat minister telling u debt incurred party paid child grandchild eddie eddie shout worry high price comic impressing anyone stop wasting time,70.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.047619047619047616,0.23809523809523808
yes please go feel bound tell immaturity help make sound argument whichever way spin corrupt master nothing offer reaping fruit previous decent pn administration,29.0,0.034482758620689655,0.10344827586206896,0.06896551724137931,0.034482758620689655,0.06896551724137931,0.10344827586206896,0.034482758620689655,0.10344827586206896
well consider comic sound argument party reduced comic even one mp side sound argument including leader mp offered valid solution problem say country facing course lack talent friend nat party argument sound lost bigger margin four year ago previous administration lay foundation valid organisation nevertheless talent minister unable reap fruit people got high utility bill rise pension excessive deficit budget tax everything etc etc etc cheek call decent nat administration,71.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
first thing first delia leader let repeat slowly corrupt master absolutely nothing current economic performance reaping fruit massive macro transformation country since vote corrupt beyond understand economy built year decade despite corrupt master key development today reaping fruit name freedom speech infrastructure rule law proper education free trade vat financial service particularly hsbc high value added manufacture financial service low cost airline eu membership euro,72.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0625
increase euroc euro weekly increase surely enough present cost living beloved premier joey always boasting medium economy well surplus ready distributed people coming budget joke granpinto hamrun,33.0,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.05172413793103448,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.05172413793103448
dear pn created traffic problem lack vision year government could changed everything nothing,14.0,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0
pl done last year looking cannot see anything,8.0,0.0,0.07407407407407407,0.0,0.07407407407407407,0.14814814814814814,0.037037037037037035,0.0,0.07407407407407407
telling shameless splendid euphemism ever one grow,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cannot afford budget extra day leave vat people earning k boom around forever,14.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857
wealth spread people encouraged use income think maintained course continued investment industry,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
long labour power boom maintained,5.0,0.0,0.0,0.0,0.125,0.0,0.125,0.125,0.0
soon labour ruined country pn voted clean mess usually pattern late,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buckle grab bag popcorn join u fiscal ride heh heh like yeah damn well like,17.0,0.0,0.14285714285714285,0.0,0.0,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.09523809523809523
well j bartolo like refuse take simple,8.0,0.0,0.041666666666666664,0.0,0.0,0.08333333333333333,0.041666666666666664,0.0,0.125
nothing wrong riding property wave particularly issue high rental cost local associated industry addressed however see new opportunity another potential bubble blockchain country economy even one small malta cannot dependant two sector,35.0,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333
budget make bleak reading sector mention important education,8.0,0.0,0.125,0.0,0.0,0.125,0.0,0.025,0.1
mr briguglio let u see better finance minister de lia still around time nats power,18.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666
sensible incentive employment gozo,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
government took measure alleviate pensioner,6.0,0.017241379310344827,0.1206896551724138,0.0,0.05172413793103448,0.034482758620689655,0.05172413793103448,0.017241379310344827,0.1206896551724138
prof scicluna budget lack specific amount spent much country earn passport scheme allocated health education infrastructure,18.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
water electricity seem mentioned problem think responsible entity need recognised good job despite increasing demand,15.0,0.0,0.07692307692307693,0.0,0.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693
pn government left over pn party assetts stolen pn pampaluni red malta coffer bankrupted power station malta forking expensive electrical tariff among eu member,33.0,0.09615384615384616,0.09615384615384616,0.019230769230769232,0.019230769230769232,0.057692307692307696,0.038461538461538464,0.019230769230769232,0.057692307692307696
bright future indeed extension first time buyer scheme,8.0,0.05660377358490566,0.09433962264150944,0.0,0.018867924528301886,0.09433962264150944,0.0,0.09433962264150944,0.07547169811320754
first time buyer denied right scheme minor technical issue,9.0,0.125,0.16666666666666666,0.0,0.041666666666666664,0.125,0.041666666666666664,0.08333333333333333,0.16666666666666666
first time tax increased budget great news,7.0,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.14285714285714285
first time tax increased budget general election stress nobody forget deny always meant,13.0,0.0,0.25,0.125,0.125,0.0,0.0,0.0,0.125
forget budget prepared budget election year,6.0,0.0,0.07407407407407407,0.0,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.1111111111111111
maltese still base everything uk idea progress least using idea country league ahead uk government education quality life,18.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
well surprise fancy saying something like country occupies waking moment,10.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0
really well people sleeping caffees shop door london,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
lame title dig property speculation,5.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0
ronnie pn presented budget would said opposite said,9.0,0.0,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667
dr delia new tax benefit people,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phantom budget got miserly weekly raise plus possibly additional one day vacation leave meanwhile insider like deborah schembri earn tax thanks connection,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thanks previous work department making suited task,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
probability got prior leave,4.0,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.045454545454545456
idiot fail realise last pn administration huge finanacial econnomy crisis thanks hard necessary decision taken administration boasting fake generosity corrupt rotten government joined leader opposition,32.0,0.0,0.038461538461538464,0.0,0.11538461538461539,0.0,0.19230769230769232,0.0,0.0
idiot tell retort wholehearted bullock trying emulate blair chance soon hearing budget surplus mature decision taken five six year back,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
indeed memory serf right great dr gonzi predicted budget would start recording surplus day honesty prevailed popluism malta mud even opposition leader tainted,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thanks nats registering surplus go weep,7.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.17647058823529413
behind blindfolded fanaticism say nats surplus nats paved way great dr gonzi predicted surplus merit shared anything exclusively due rotten administration lumped league opposition,33.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.25
criticised reducing price rather raising one show strong budget added word continue make rip u high fuel price expect u thank,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
would disaster fuel price go lower indirect congestion circulation tax happy paying price fuel happy slowly killed traffic pollution traffic jam daily basis transport harsher measure introduced incentive,29.0,0.0,0.1590909090909091,0.0,0.022727272727272728,0.06818181818181818,0.022727272727272728,0.06818181818181818,0.18181818181818182
reasoning government double price fuel,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
would say get cent maltese lira week extra far enough cover increase price ii wonder much give never know government take enough people please word like give take correct context used,32.0,0.013333333333333334,0.02666666666666667,0.0,0.04,0.02666666666666667,0.04,0.013333333333333334,0.05333333333333334
budget fruit government hard work give away budget even service pensioner employed british service would enjoying increase ni pension however non taxable people would also getting remuneration tell arrived dwardu pertinent note following daylight robbery mintoff treasury pensioner left wayside joey subsequent administration never cared arrange anomaly,58.0,0.0,0.0,0.03125,0.0,0.03125,0.0,0.0,0.09375
sure small brain washed mind would still complain,8.0,0.0,0.11538461538461539,0.0,0.0,0.038461538461538464,0.0,0.07692307692307693,0.19230769230769232
matter fact happy two euro increase per week pension rushed shop ordered luxury yacht booked holiday luxury hotel dubai mind invest rest shady jurisdiction avoid paying tax,27.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.0,0.07692307692307693
give euro give euro still gave,6.0,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.0,0.0625
forget agreement social partner please note kola mechanism gonzi efa saying wrong,16.0,0.045454545454545456,0.045454545454545456,0.18181818181818182,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456
bleating intensifies,6.0,0.07692307692307693,0.0,0.15384615384615385,0.07692307692307693,0.0,0.07692307692307693,0.0,0.07692307692307693
someone ask dpm podium seem yesterday budget good,9.0,0.0,0.05405405405405406,0.02702702702702703,0.02702702702702703,0.05405405405405406,0.05405405405405406,0.02702702702702703,0.05405405405405406
thank dr muscat prof scicluna giving u back money taking u way regarding additional day one giviing case employer employee make one else lovely trip dubai,32.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285
